Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
46,11,3148.31,3,5,5,355,Loyal Customers
49,3,1352.62,3,3,4,334,Loyal Customers
21,2,503.01,4,2,3,423,Others
51,2,291.56,3,2,2,322,Others
30,14,4428.24,4,5,5,455,Champions
23,2,763.08,4,2,3,423,Others
58,2,1579.07,3,2,4,324,Others
84,1,964.21,2,1,3,213,Others
298,1,762.48,1,1,3,113,Others
7,1,303.5,5,1,2,512,Others
1,5,3735.51,5,4,5,545,Champions
9,13,4370.52,5,5,5,555,Champions
2,5,7205.39,5,4,5,545,Champions
17,1,297.29,4,1,2,412,Others
32,4,6096.04,4,4,5,445,Champions
31,21,7731.99,4,5,5,455,Champions
318,2,1142.88,1,2,4,124,Others
98,2,859.2,2,2,3,223,Others
2,1,173.55,5,1,1,511,Others
368,1,485.31,1,1,2,112,Others
56,1,301.58000000000004,3,1,2,312,Others
46,2,768.6,3,2,3,323,Others
35,3,490.32,4,3,2,432,Loyal Customers
99,3,3634.36,2,3,5,235,At Risk
31,4,13151.44,4,4,5,445,Champions
81,4,3413.09,2,4,5,245,At Risk
71,1,632.6800000000001,3,1,3,313,Others
63,2,830.09,3,2,3,323,Others
241,1,454.36,1,1,2,112,Others
92,1,326.65,2,1,2,212,Others
318,1,56.73,1,1,1,111,Others
59,1,132.8,3,1,1,311,Others
162,3,2941.2,2,3,5,235,At Risk
158,2,3070.54,2,2,5,225,Others
325,1,211.95,1,1,1,111,Others
10,49,20129.54,5,5,5,555,Champions
5,13,11308.48,5,5,5,555,Champions
14,13,5048.66,5,5,5,555,Champions
45,1,426.26,3,1,2,312,Others
32,12,7267.49,4,5,5,455,Champions
35,3,7056.63,4,3,5,435,Loyal Customers
35,3,2183.2200000000003,4,3,5,435,Loyal Customers
1,6,6765.07,5,4,5,545,Champions
212,29,23691.4,1,5,5,155,At Risk
14,11,2612.2000000000003,5,5,5,555,Champions
119,6,1826.78,2,4,4,244,At Risk
165,1,708.1,2,1,3,213,Others
67,1,1037.28,3,1,4,314,Others
366,1,285.3,1,1,2,112,Others
14,11,4405.71,5,5,5,555,Champions
39,1,452.0,3,1,2,312,Others
1,3,626.77,5,3,3,533,Loyal Customers
276,1,357.4,1,1,2,112,Others
256,2,45.34,1,2,1,121,Others
36,2,5205.400000000001,4,2,5,425,Others
196,1,393.72,1,1,2,112,Others
71,8,1697.39,3,5,4,354,Loyal Customers
220,1,1126.0,1,1,4,114,Others
53,2,297.0,3,2,2,322,Others
44,1,955.2,3,1,3,313,Others
220,1,539.25,1,1,3,113,Others
95,7,4195.45,2,5,5,255,At Risk
64,1,3084.02,3,1,5,315,Others
277,1,580.08,1,1,3,113,Others
66,2,1336.56,3,2,4,324,Others
112,1,385.70000000000005,2,1,2,212,Others
10,12,2562.58,5,5,5,555,Champions
24,9,6640.39,4,5,5,455,Champions
134,3,973.73,2,3,3,233,At Risk
130,2,386.8,2,2,2,222,Others
164,1,316.48,2,1,2,212,Others
51,5,2096.98,3,4,4,344,Loyal Customers
322,1,1807.98,1,1,4,114,Others
263,2,1367.89,1,2,4,124,Others
44,1,732.94,3,1,3,313,Others
14,1,276.5,5,1,2,512,Others
86,3,5646.400000000001,2,3,5,235,At Risk
14,16,8854.25,5,5,5,555,Champions
120,2,481.88,2,2,2,222,Others
84,1,980.25,2,1,3,213,Others
136,1,175.78,2,1,1,211,Others
211,6,1575.68,1,4,4,144,At Risk
21,2,916.47,4,2,3,423,Others
84,1,468.5,2,1,2,212,Others
318,1,129.23,1,1,1,111,Others
7,4,6725.18,5,4,5,545,Champions
21,2,1185.18,4,2,4,424,Others
44,1,249.24,3,1,1,311,Others
3,7,4308.58,5,5,5,555,Champions
280,1,70.0,1,1,1,111,Others
318,1,77.52,1,1,1,111,Others
17,4,556.87,4,4,3,443,Loyal Customers
93,2,622.82,2,2,3,223,Others
28,3,826.89,4,3,3,433,Loyal Customers
17,5,990.5,4,4,4,444,Champions
21,2,1847.94,4,2,4,424,Others
212,1,637.2,1,1,3,113,Others
58,2,1469.04,3,2,4,324,Others
9,13,7166.06,5,5,5,555,Champions
10,3,1865.73,5,3,4,534,Loyal Customers
35,3,743.88,4,3,3,433,Loyal Customers
57,6,4048.98,3,4,5,345,Loyal Customers
26,2,886.1,4,2,3,423,Others
155,3,2145.06,2,3,5,235,At Risk
14,5,1751.89,5,4,4,544,Champions
140,1,299.02,2,1,2,212,Others
99,3,1511.01,2,3,4,234,At Risk
17,6,1264.14,4,4,4,444,Champions
7,12,2444.88,5,5,5,555,Champions
40,1,104.2,3,1,1,311,Others
12,4,1232.95,5,4,4,544,Champions
318,1,21.0,1,1,1,111,Others
40,1,415.79,3,1,2,312,Others
10,6,2309.01,5,4,5,545,Champions
24,5,3472.9900000000002,4,4,5,445,Champions
49,4,3449.79,3,4,5,345,Loyal Customers
24,1,417.8,4,1,2,412,Others
196,1,140.14,1,1,1,111,Others
1,16,11086.14,5,5,5,555,Champions
52,6,3442.7400000000002,3,4,5,345,Loyal Customers
145,2,2481.06,2,2,5,225,Others
21,2,1558.22,4,2,4,424,Others
92,5,2841.07,2,4,5,245,At Risk
156,2,804.88,2,2,3,223,Others
18,3,3514.18,4,3,5,435,Loyal Customers
171,2,490.0,2,2,2,222,Others
28,2,1241.23,4,2,4,424,Others
374,1,141.0,1,1,1,111,Others
14,4,2280.91,5,4,5,545,Champions
275,1,249.8,1,1,1,111,Others
70,2,826.27,3,2,3,323,Others
21,6,4960.18,4,4,5,445,Champions
66,3,1440.58,3,3,4,334,Loyal Customers
45,4,1764.12,3,4,4,344,Loyal Customers
3,27,14201.53,5,5,5,555,Champions
73,3,793.95,2,3,3,233,At Risk
18,5,1671.14,4,4,4,444,Champions
14,3,263.75,5,3,2,532,Loyal Customers
70,1,97.05000000000001,3,1,1,311,Others
162,1,1950.98,2,1,4,214,Others
59,1,261.35,3,1,2,312,Others
61,3,2356.66,3,3,5,335,Loyal Customers
72,1,162.0,2,1,1,211,Others
9,10,3138.2400000000002,5,5,5,555,Champions
260,2,239.4,1,2,1,121,Others
150,2,1188.16,2,2,4,224,Others
53,2,250.6,3,2,1,321,Others
30,1,1248.42,4,1,4,414,Others
14,6,7575.88,5,4,5,545,Champions
21,2,764.24,4,2,3,423,Others
242,1,2622.481,1,1,5,115,Others
231,1,211.15,1,1,1,111,Others
37,1,619.5,3,1,3,313,Others
189,2,957.25,1,2,3,123,Others
44,5,1511.7,3,4,4,344,Loyal Customers
191,2,395.1,1,2,2,122,Others
11,9,16652.72,5,5,5,555,Champions
3,24,17080.74,5,5,5,555,Champions
1,23,11745.69,5,5,5,555,Champions
1,8,4220.21,5,5,5,555,Champions
7,1,89.14,5,1,1,511,Others
116,2,2138.91,2,2,4,224,Others
56,1,134.6,3,1,1,311,Others
273,1,110.95,1,1,1,111,Others
32,3,847.11,4,3,3,433,Loyal Customers
57,1,973.68,3,1,3,313,Others
164,3,825.02,2,3,3,233,At Risk
70,2,851.91,3,2,3,323,Others
226,1,339.75,1,1,2,112,Others
53,1,638.11,3,1,3,313,Others
165,4,1648.7,2,4,4,244,At Risk
269,3,722.98,1,3,3,133,At Risk
19,5,4893.81,4,4,5,445,Champions
4,9,2601.19,5,5,5,555,Champions
2,20,21107.94,5,5,5,555,Champions
247,2,1339.05,1,2,4,124,Others
1,10,2797.53,5,5,5,555,Champions
24,7,9384.85,4,5,5,455,Champions
226,1,277.93,1,1,2,112,Others
5,6,2478.94,5,4,5,545,Champions
21,2,1356.95,4,2,4,424,Others
19,3,1286.11,4,3,4,434,Loyal Customers
7,4,2266.76,5,4,5,545,Champions
23,4,1405.5,4,4,4,444,Champions
78,3,1698.8300000000002,2,3,4,234,At Risk
19,1,233.84,4,1,1,411,Others
157,1,829.25,2,1,3,213,Others
78,5,6879.8,2,4,5,245,At Risk
25,3,2040.92,4,3,4,434,Loyal Customers
10,2,529.25,5,2,3,523,Others
134,2,3710.5,2,2,5,225,Others
8,1,155.35,5,1,1,511,Others
21,2,1713.69,4,2,4,424,Others
165,2,406.07,2,2,2,222,Others
261,1,1201.52,1,1,4,114,Others
95,4,4037.77,2,4,5,245,At Risk
122,3,925.41,2,3,3,233,At Risk
176,1,254.55,2,1,2,212,Others
5,16,5061.03,5,5,5,555,Champions
1,144,22457.9,5,5,5,555,Champions
35,4,2806.48,4,4,5,445,Champions
80,1,268.27,2,1,2,212,Others
1,10,5218.71,5,5,5,555,Champions
95,5,7111.650000000001,2,4,5,245,At Risk
22,5,3489.3,4,4,5,445,Champions
91,1,347.8,2,1,2,212,Others
93,2,782.95,2,2,3,223,Others
5,1,320.08,5,1,2,512,Others
108,6,1404.58,2,4,4,244,At Risk
2,3,3078.65,5,3,5,535,Loyal Customers
11,1,949.82,5,1,3,513,Others
86,1,168.69,2,1,1,211,Others
92,1,1895.0,2,1,4,214,Others
121,1,282.3,2,1,2,212,Others
200,1,124.25,1,1,1,111,Others
171,1,98.7,2,1,1,211,Others
24,2,300.08000000000004,4,2,2,422,Others
303,1,55.5,1,1,1,111,Others
93,1,519.45,2,1,3,213,Others
32,3,953.4499999999999,4,3,3,433,Loyal Customers
7,7,2740.91,5,5,5,555,Champions
234,1,337.4,1,1,2,112,Others
10,6,2287.32,5,4,5,545,Champions
165,1,1230.33,2,1,4,214,Others
171,2,788.45,2,2,3,223,Others
245,1,728.5000000000001,1,1,3,113,Others
49,1,398.52,3,1,2,312,Others
99,4,444.90000000000003,2,4,2,242,At Risk
148,2,181.5,2,2,1,221,Others
46,1,266.93,3,1,2,312,Others
9,6,863.51,5,4,3,543,Loyal Customers
170,1,426.47,2,1,2,212,Others
7,2,471.85,5,2,2,522,Others
264,1,381.0,1,1,2,112,Others
1,2,552.08,5,2,3,523,Others
57,1,1533.89,3,1,4,314,Others
165,1,219.35,2,1,1,211,Others
106,3,584.25,2,3,3,233,At Risk
136,1,1071.82,2,1,4,214,Others
78,6,1988.84,2,4,4,244,At Risk
29,1,1092.81,4,1,4,414,Others
101,2,325.37,2,2,2,222,Others
17,4,1434.95,4,4,4,444,Champions
71,4,2878.96,3,4,5,345,Loyal Customers
19,1,330.35,4,1,2,412,Others
4,3,422.45,5,3,2,532,Loyal Customers
201,2,1266.63,1,2,4,124,Others
170,2,534.99,2,2,3,223,Others
14,2,519.0500000000001,5,2,3,523,Others
137,3,1687.8,2,3,4,234,At Risk
35,2,524.94,4,2,3,423,Others
94,1,540.52,2,1,3,213,Others
33,7,1747.18,4,5,4,454,Champions
247,1,128.08,1,1,1,111,Others
30,13,4742.0,4,5,5,455,Champions
157,2,518.63,2,2,3,223,Others
1,6,1481.03,5,4,4,544,Champions
186,1,92.3,1,1,1,111,Others
99,2,236.06,2,2,1,221,Others
63,41,5996.83,3,5,5,355,Loyal Customers
25,11,3949.37,4,5,5,455,Champions
205,1,528.5600000000001,1,1,3,113,Others
9,9,2694.75,5,5,5,555,Champions
3,13,4480.31,5,5,5,555,Champions
73,3,1315.2,2,3,4,234,At Risk
5,17,3472.61,5,5,5,555,Champions
40,2,799.0,3,2,3,323,Others
18,22,4881.1,4,5,5,455,Champions
78,2,322.64,2,2,2,222,Others
318,1,15.58,1,1,1,111,Others
23,1,765.36,4,1,3,413,Others
311,1,208.0,1,1,1,111,Others
17,4,2032.18,4,4,4,444,Champions
81,1,330.0,2,1,2,212,Others
113,1,148.95,2,1,1,211,Others
63,5,1950.4,3,4,4,344,Loyal Customers
197,4,1654.72,1,4,4,144,At Risk
8,4,612.84,5,4,3,543,Loyal Customers
72,4,2581.6,2,4,5,245,At Risk
19,1,147.27,4,1,1,411,Others
94,1,575.1,2,1,3,213,Others
329,1,54.22,1,1,1,111,Others
255,1,68.25,1,1,1,111,Others
61,2,984.62,3,2,3,323,Others
15,5,2271.35,5,4,5,545,Champions
144,1,152.45,2,1,1,211,Others
14,2,1755.24,5,2,4,524,Others
110,2,668.23,2,2,3,223,Others
33,6,3819.92,4,4,5,445,Champions
9,3,640.0,5,3,3,533,Loyal Customers
317,1,337.66999999999996,1,1,2,112,Others
11,3,1676.95,5,3,4,534,Loyal Customers
75,1,363.38,2,1,2,212,Others
1,11,3062.52,5,5,5,555,Champions
33,2,1653.3,4,2,4,424,Others
21,2,948.42,4,2,3,423,Others
107,3,1013.7600000000001,2,3,4,234,At Risk
30,2,1863.77,4,2,4,424,Others
37,8,1406.3700000000001,3,5,4,354,Loyal Customers
17,2,640.13,4,2,3,423,Others
19,1,222.4,4,1,1,411,Others
17,4,385.46000000000004,4,4,2,442,Loyal Customers
23,1,329.3,4,1,2,412,Others
94,8,509.5,2,5,3,253,At Risk
32,1,263.38,4,1,2,412,Others
211,1,157.35,1,1,1,111,Others
17,2,297.75,4,2,2,422,Others
99,2,296.21,2,2,2,222,Others
49,1,366.4,3,1,2,312,Others
58,1,340.33000000000004,3,1,2,312,Others
64,1,833.5300000000001,3,1,3,313,Others
212,2,1018.42,1,2,4,124,Others
31,2,508.91,4,2,3,423,Others
16,3,1026.0,4,3,4,434,Loyal Customers
60,3,924.52,3,3,3,333,Loyal Customers
15,5,2721.48,5,4,5,545,Champions
187,1,1651.72,1,1,4,114,Others
4,9,4217.23,5,5,5,555,Champions
36,1,223.98,4,1,1,411,Others
8,3,811.1,5,3,3,533,Loyal Customers
78,3,1534.78,2,3,4,234,At Risk
36,5,3765.2,4,4,5,445,Champions
262,1,10953.5,1,1,5,115,Others
207,3,323.86,1,3,2,132,At Risk
2,39,19333.95,5,5,5,555,Champions
26,2,597.6,4,2,3,423,Others
29,8,1535.7,4,5,4,454,Champions
228,1,35.28,1,1,1,111,Others
47,4,1523.97,3,4,4,344,Loyal Customers
30,1,197.31,4,1,1,411,Others
14,7,2242.19,5,5,5,555,Champions
16,42,50291.38,4,5,5,455,Champions
175,8,1698.56,2,5,4,254,At Risk
16,5,1029.1,4,4,4,444,Champions
372,1,181.65,1,1,1,111,Others
11,8,2083.16,5,5,4,554,Champions
99,5,1593.34,2,4,4,244,At Risk
15,12,13683.0,5,5,5,555,Champions
360,1,377.49,1,1,2,112,Others
1,1,258.75,5,1,2,512,Others
194,2,496.5,1,2,2,122,Others
292,1,437.16,1,1,2,112,Others
72,1,324.45,2,1,2,212,Others
9,1,304.04,5,1,2,512,Others
366,2,252.48,1,2,2,122,Others
18,14,11359.48,4,5,5,455,Champions
22,9,2149.65,4,5,5,455,Champions
158,1,498.96,2,1,3,213,Others
274,1,162.45,1,1,1,111,Others
320,3,413.82,1,3,2,132,At Risk
177,5,4689.43,1,4,5,145,At Risk
36,2,467.34,4,2,2,422,Others
120,1,150.95,2,1,1,211,Others
49,4,1322.0700000000002,3,4,4,344,Loyal Customers
15,1,211.99,5,1,1,511,Others
1,5,1744.96,5,4,4,544,Champions
73,1,132.24,2,1,1,211,Others
7,2,2646.02,5,2,5,525,Others
238,1,122.45,1,1,1,111,Others
16,6,1048.13,4,4,4,444,Champions
2,33,4782.88,5,5,5,555,Champions
49,4,1161.2,3,4,4,344,Loyal Customers
49,1,385.55,3,1,2,312,Others
201,1,264.15,1,1,2,112,Others
72,6,2100.09,2,4,4,244,At Risk
14,7,2417.78,5,5,5,555,Champions
137,3,474.64,2,3,2,232,At Risk
21,5,2502.82,4,4,5,445,Champions
365,1,517.7,1,1,3,113,Others
22,12,8870.880000000001,4,5,5,455,Champions
30,7,2354.27,4,5,5,455,Champions
234,1,490.08,1,1,2,112,Others
64,10,2729.84,3,5,5,355,Loyal Customers
56,3,753.51,3,3,3,333,Loyal Customers
60,18,6627.64,3,5,5,355,Loyal Customers
53,4,546.0,3,4,3,343,Loyal Customers
25,1,261.06,4,1,2,412,Others
361,1,93.35,1,1,1,111,Others
81,4,844.87,2,4,3,243,At Risk
11,1,355.5,5,1,2,512,Others
30,4,884.02,4,4,3,443,Loyal Customers
128,3,920.08,2,3,3,233,At Risk
361,1,497.65,1,1,2,112,Others
40,20,14256.68,3,5,5,355,Loyal Customers
52,2,293.18,3,2,2,322,Others
22,18,5994.94,4,5,5,455,Champions
67,2,485.98,3,2,2,322,Others
215,1,175.25,1,1,1,111,Others
33,2,382.66,4,2,2,422,Others
308,1,234.0,1,1,1,111,Others
10,2,330.12,5,2,2,522,Others
8,1,50.550000000000004,5,1,1,511,Others
65,3,1310.99,3,3,4,334,Loyal Customers
7,18,7814.83,5,5,5,555,Champions
68,1,1914.8,3,1,4,314,Others
74,6,3240.14,2,4,5,245,At Risk
49,7,2485.46,3,5,5,355,Loyal Customers
15,6,1229.95,5,4,4,544,Champions
198,2,618.96,1,2,3,123,Others
10,8,2270.86,5,5,5,555,Champions
65,1,65.3,3,1,1,311,Others
164,1,759.13,2,1,3,213,Others
106,2,555.87,2,2,3,223,Others
367,1,323.39,1,1,2,112,Others
124,4,757.72,2,4,3,243,At Risk
21,13,10327.2,4,5,5,455,Champions
10,2,679.8,5,2,3,523,Others
4,1,402.36,5,1,2,512,Others
43,5,3292.84,3,4,5,345,Loyal Customers
28,7,1805.78,4,5,4,454,Champions
65,1,30.0,3,1,1,311,Others
5,2,279.91,5,2,2,522,Others
67,1,442.32,3,1,2,312,Others
320,1,307.1,1,1,2,112,Others
35,9,3033.88,4,5,5,455,Champions
220,4,1010.73,1,4,4,144,At Risk
86,4,799.13,2,4,3,243,At Risk
234,3,1488.59,1,3,4,134,At Risk
128,10,4287.58,2,5,5,255,At Risk
37,2,503.64,3,2,3,323,Others
92,1,319.94,2,1,2,212,Others
9,17,5557.62,5,5,5,555,Champions
72,5,2229.7200000000003,2,4,5,245,At Risk
25,2,751.5600000000001,4,2,3,423,Others
2,19,6477.67,5,5,5,555,Champions
214,2,155.8,1,2,1,121,Others
56,6,2771.18,3,4,5,345,Loyal Customers
257,1,127.65,1,1,1,111,Others
65,1,1106.7,3,1,4,314,Others
187,1,209.48,1,1,1,111,Others
166,3,709.59,2,3,3,233,At Risk
49,9,2108.37,3,5,4,354,Loyal Customers
116,1,188.4,2,1,1,211,Others
186,2,561.25,1,2,3,123,Others
9,5,1055.05,5,4,4,544,Champions
45,2,393.05,3,2,2,322,Others
5,16,5185.51,5,5,5,555,Champions
95,3,522.9,2,3,3,233,At Risk
248,1,129.22,1,1,1,111,Others
47,2,418.08,3,2,2,322,Others
147,4,1378.74,2,4,4,244,At Risk
93,1,135.4,2,1,1,211,Others
2,8,2326.35,5,5,5,555,Champions
2,32,16904.51,5,5,5,555,Champions
53,1,199.08,3,1,1,311,Others
37,3,222.65,3,3,1,331,Loyal Customers
7,19,30867.77,5,5,5,555,Champions
60,12,3722.12,3,5,5,355,Loyal Customers
61,1,91.67999999999999,3,1,1,311,Others
127,1,122.39999999999999,2,1,1,211,Others
315,6,2017.2,1,4,4,144,At Risk
18,1,439.33000000000004,4,1,2,412,Others
362,1,313.64,1,1,2,112,Others
53,1,236.11,3,1,1,311,Others
4,109,57885.45,5,5,5,555,Champions
1,13,5189.32,5,5,5,555,Champions
365,2,1976.0,1,2,4,124,Others
50,7,1662.45,3,5,4,354,Loyal Customers
9,48,47111.18,5,5,5,555,Champions
4,2,505.80000000000007,5,2,3,523,Others
30,1,419.7000000000001,4,1,2,412,Others
24,18,7320.88,4,5,5,455,Champions
134,3,594.21,2,3,3,233,At Risk
1,14,5272.83,5,5,5,555,Champions
73,2,465.70000000000005,2,2,2,222,Others
51,3,610.62,3,3,3,333,Loyal Customers
72,1,72.0,2,1,1,211,Others
49,1,526.96,3,1,3,313,Others
49,5,3721.45,3,4,5,345,Loyal Customers
8,2,748.46,5,2,3,523,Others
187,1,347.49,1,1,2,112,Others
73,5,1468.8,2,4,4,244,At Risk
354,1,321.88000000000005,1,1,2,112,Others
177,1,20.599999999999998,1,1,1,111,Others
2,14,6357.08,5,5,5,555,Champions
366,1,234.38,1,1,1,111,Others
15,6,3199.92,5,4,5,545,Champions
1,12,1658.9,5,5,4,554,Champions
12,4,1217.6,5,4,4,544,Champions
304,1,134.9,1,1,1,111,Others
108,2,506.75,2,2,3,223,Others
21,1,885.33,4,1,3,413,Others
159,1,148.62,2,1,1,211,Others
2,7,1898.61,5,5,4,554,Champions
267,1,263.5,1,1,2,112,Others
88,2,233.25,2,2,1,221,Others
54,4,2240.4700000000003,3,4,5,345,Loyal Customers
95,1,90.65,2,1,1,211,Others
38,2,681.65,3,2,3,323,Others
127,1,275.45,2,1,2,212,Others
11,8,3666.9500000000003,5,5,5,555,Champions
22,8,3983.65,4,5,5,455,Champions
8,2,504.85,5,2,3,523,Others
73,1,3138.04,2,1,5,215,Others
2,3,790.71,5,3,3,533,Loyal Customers
21,12,5267.33,4,5,5,455,Champions
220,1,405.1,1,1,2,112,Others
67,1,24.4,3,1,1,311,Others
8,4,805.0,5,4,3,543,Loyal Customers
25,14,4814.56,4,5,5,455,Champions
120,3,449.96999999999997,2,3,2,232,At Risk
261,2,1207.3400000000001,1,2,4,124,Others
53,7,2146.38,3,5,5,355,Loyal Customers
35,3,1624.84,4,3,4,434,Loyal Customers
4,3,778.4200000000001,5,3,3,533,Loyal Customers
21,3,1586.54,4,3,4,434,Loyal Customers
45,5,3946.14,3,4,5,345,Loyal Customers
24,1,307.12,4,1,2,412,Others
136,1,359.38,2,1,2,212,Others
16,12,7587.2,4,5,5,455,Champions
246,1,17.65,1,1,1,111,Others
205,2,372.2,1,2,2,122,Others
49,1,429.68,3,1,2,312,Others
50,1,458.73,3,1,2,312,Others
26,1,333.82,4,1,2,412,Others
178,1,541.14,1,1,3,113,Others
198,1,127.2,1,1,1,111,Others
36,1,69.6,4,1,1,411,Others
3,10,2212.11,5,5,5,555,Champions
5,10,6621.6,5,5,5,555,Champions
218,2,831.45,1,2,3,123,Others
66,1,229.75,3,1,1,311,Others
33,10,8333.72,4,5,5,455,Champions
254,1,572.3100000000001,1,1,3,113,Others
243,1,86.10000000000001,1,1,1,111,Others
17,1,359.69,4,1,2,412,Others
30,6,3078.4,4,4,5,445,Champions
260,3,105.34,1,3,1,131,At Risk
180,3,570.66,1,3,3,133,At Risk
294,1,164.69,1,1,1,111,Others
171,4,1646.64,2,4,4,244,At Risk
57,1,412.08,3,1,2,312,Others
50,1,136.73,3,1,1,311,Others
79,3,1271.06,2,3,4,234,At Risk
245,1,373.01000000000005,1,1,2,112,Others
23,2,1572.99,4,2,4,424,Others
2,30,6615.77,5,5,5,555,Champions
138,4,1233.06,2,4,4,244,At Risk
30,7,1580.3,4,5,4,454,Champions
22,6,1778.79,4,4,4,444,Champions
367,1,966.6600000000001,1,1,3,113,Others
79,1,2803.2,2,1,5,215,Others
36,13,8308.19,4,5,5,455,Champions
87,2,285.6,2,2,2,222,Others
85,3,758.65,2,3,3,233,At Risk
150,5,2617.9,2,4,5,245,At Risk
17,7,1523.35,4,5,4,454,Champions
19,6,2330.94,4,4,5,445,Champions
53,7,3264.23,3,5,5,355,Loyal Customers
38,1,81.6,3,1,1,311,Others
291,1,132.5,1,1,1,111,Others
254,1,76.23,1,1,1,111,Others
211,1,516.8,1,1,3,113,Others
213,1,88.5,1,1,1,111,Others
59,4,805.92,3,4,3,343,Loyal Customers
57,9,9796.23,3,5,5,355,Loyal Customers
29,1,204.25,4,1,1,411,Others
1,17,3457.83,5,5,5,555,Champions
56,2,571.34,3,2,3,323,Others
308,2,346.5,1,2,2,122,Others
23,1,643.0,4,1,3,413,Others
66,2,305.9,3,2,2,322,Others
73,4,1265.1299999999999,2,4,4,244,At Risk
1,5,1036.21,5,4,4,544,Champions
47,1,112.53,3,1,1,311,Others
87,4,429.0,2,4,2,242,At Risk
85,4,635.26,2,4,3,243,At Risk
68,1,558.72,3,1,3,313,Others
29,5,1390.23,4,4,4,444,Champions
37,6,897.52,3,4,3,343,Loyal Customers
96,2,253.09,2,2,2,222,Others
38,1,252.68,3,1,2,312,Others
30,2,399.3,4,2,2,422,Others
66,2,1920.71,3,2,4,324,Others
12,1,51.41,5,1,1,511,Others
9,2,504.95,5,2,3,523,Others
72,1,149.75,2,1,1,211,Others
15,2,336.59999999999997,5,2,2,522,Others
33,8,1119.36,4,5,4,454,Champions
25,2,373.16,4,2,2,422,Others
29,4,1239.27,4,4,4,444,Champions
78,1,722.5600000000001,2,1,3,213,Others
49,7,2300.78,3,5,5,355,Loyal Customers
2,18,5236.77,5,5,5,555,Champions
5,14,3545.47,5,5,5,555,Champions
2,1,590.0,5,1,3,513,Others
45,1,360.85,3,1,2,312,Others
19,2,238.86,4,2,1,421,Others
33,3,1300.98,4,3,4,434,Loyal Customers
16,3,264.9,4,3,2,432,Loyal Customers
35,3,893.12,4,3,3,433,Loyal Customers
15,4,1494.8700000000001,5,4,4,544,Champions
75,1,350.85,2,1,2,212,Others
42,1,181.05,3,1,1,311,Others
203,2,279.7,1,2,2,122,Others
236,2,655.47,1,2,3,123,Others
236,1,734.91,1,1,3,113,Others
239,3,781.59,1,3,3,133,At Risk
79,5,927.61,2,4,3,243,At Risk
359,1,307.95,1,1,2,112,Others
74,1,208.63,2,1,1,211,Others
50,10,2909.68,3,5,5,355,Loyal Customers
51,3,415.57,3,3,2,332,Loyal Customers
28,6,1192.94,4,4,4,444,Champions
282,1,815.79,1,1,3,113,Others
12,3,900.77,5,3,3,533,Loyal Customers
59,5,705.11,3,4,3,343,Loyal Customers
21,3,2278.77,4,3,5,435,Loyal Customers
59,2,1076.2,3,2,4,324,Others
24,2,913.62,4,2,3,423,Others
162,1,95.45,2,1,1,211,Others
36,1,61.72,4,1,1,411,Others
91,3,917.57,2,3,3,233,At Risk
